"categoria","termino","descripcion","genes_universo","genes_conjunto","esperados","p","genes","q"
"Function","GO:0016407","Acetyltransferase activity",6,1,1.1,0.68943786022689,"RS02580",1
"Function","GO:0020037","Heme binding",6,1,1.1,0.68943786022689,"RS06015",1
"Function","GO:0043021","Ribonucleoprotein complex binding",6,1,1.1,0.68943786022689,"rimM",1
"Function","GO:0043022","Ribosome binding",6,1,1.1,0.68943786022689,"rimM",1
"Function","GO:0044877","Protein-containing complex binding",6,1,1.1,0.68943786022689,"rimM",1
"Function","GO:0046906","Tetrapyrrole binding",6,1,1.1,0.68943786022689,"RS06015",1
"Function","GO:0071949","FAD binding",6,1,1.1,0.68943786022689,"RS00470",1
"Keyword","KW-0057","Aromatic amino acid biosynthesis",6,1,1.1,0.68943786022689,"aroC",1
"Keyword","KW-0315","Glutamine amidotransferase",6,1,1.1,0.68943786022689,"RS02550",1
"Keyword","KW-0349","Heme",6,1,1.1,0.68943786022689,"RS06015",1
"Keyword","KW-0720","Serine protease",6,1,1.1,0.68943786022689,"lon",1
"KEGG","bbk01503","Cationic antimicrobial peptide (CAMP) resistance",6,1,1.1,0.68943786022689,"RS03155",1
"InterPro","IPR002052","DNA methylase, N-6 adenine-specific, conserved site",6,1,1.1,0.68943786022689,"RS06130",1
"InterPro","IPR006195","Aminoacyl-tRNA synthetase, class II",6,1,1.1,0.68943786022689,"serS",1
"InterPro","IPR009080","Aminoacyl-tRNA synthetase, class Ia, anticodon-binding",6,1,1.1,0.68943786022689,"cysS",1
"InterPro","IPR016185","Pre-ATP-grasp domain superfamily",6,1,1.1,0.68943786022689,"RS01015",1
"InterPro","IPR029062","Class I glutamine amidotransferase-like",6,1,1.1,0.68943786022689,"RS02550",1
"InterPro","IPR035965","PAS domain superfamily",6,1,1.1,0.68943786022689,"RS02110",1
"InterPro","IPR036986","RNA-binding S4 domain superfamily",6,1,1.1,0.68943786022689,"RS01395",1
"Process","GO:0009987","Cellular process",683,118,120.7,0.696473372233467,"RS00300;RS00365;RS00470;RS00490;RS00690;RS00695;RS01015;RS01050;RS01315;RS01325;RS01395;RS01425;RS01625;RS01645;RS01900;RS01920;RS02060;RS02065;RS02110;RS02220;RS02255;RS02355;RS02365;RS02455;RS02535;RS02550;RS02575;RS02580;RS02670;RS02820;RS02970;RS03030;RS03090;RS03155;RS03655;RS04045;RS04185;RS04400;RS04480;RS04590;RS04605;RS04785;RS04825;RS05030;RS05100;RS05110;RS05290;RS05340;RS05835;RS05850;RS05905;RS06015;RS06020;RS06130;RS06475;RS06480;RS06670;RS06685;alr;aroC;ccmA;clpB;cysS;dapA;dapF;def;dnaJ;dnaK;dnaN;efp;fabA;fabB;fabI;fabI;frr;fsa;gltX;groES;groL;grpE;guaB;ilvC;lon;lpdA;lptC;murA;murD;nhaA;pdhA;phoU;purE;ribB;rimM;rimP;rnpA;rplF;rplN;rplX;rpmH;rpoH;rpoZ;rpsB;rpsO;rsmH;ruvX;serS;smpB;tolB;tolQ;tpiA;trhO;trmD;trxB;tsf;ubiC;ubiG;ybeY;yihA",1
"Keyword","KW-0677","Repeat",13,2,2.3,0.698953862005063,"clpB;dnaJ",1
"InterPro","IPR020568","Ribosomal protein S5 domain 2-type fold",13,2,2.3,0.698953862005063,"lon;rnpA",1
"InterPro","IPR036249","Thioredoxin-like superfamily",13,2,2.3,0.698953862005063,"RS04515;RS05100",1
"Process","GO:0000270","Peptidoglycan metabolic process",26,4,4.6,0.701588092587988,"RS04405;RS04605;murA;murD",1
"Process","GO:0006022","Aminoglycan metabolic process",26,4,4.6,0.701588092587988,"RS04405;RS04605;murA;murD",1
"Process","GO:0009124","Nucleoside monophosphate biosynthetic process",26,4,4.6,0.701588092587988,"RS01015;RS04480;guaB;purE",1
"Process","GO:0030203","Glycosaminoglycan metabolic process",26,4,4.6,0.701588092587988,"RS04405;RS04605;murA;murD",1
"KEGG","bbk00230","Purine metabolism",26,4,4.6,0.701588092587988,"RS01015;RS02255;guaB;purE",1
"Function","GO:0016772","Transferase activity, transferring phosphorus-containing groups",63,10,11.1,0.70226289869268,"RS00690;RS02065;RS02110;RS02255;RS02455;RS02820;RS06020;RS06480;dnaN;rpoZ",1
"Keyword","KW-0694","RNA-binding",63,10,11.1,0.70226289869268,"RS00365;RS01395;RS01645;RS04825;rnpA;rplF;rplN;rplX;rpsO;smpB",1
"Keyword","KW-0808","Transferase",170,28,30,0.706165687930016,"RS00365;RS00690;RS01315;RS01645;RS02065;RS02110;RS02255;RS02455;RS02580;RS02820;RS04045;RS04480;RS04510;RS04745;RS05100;RS06020;RS06130;RS06480;RS06680;RS06685;dnaN;fabB;fsa;murA;rpoZ;rsmH;trmD;ubiG",1
"Process","GO:0006164","Purine nucleotide biosynthetic process",39,6,6.9,0.713762616495832,"RS01015;RS02575;RS02580;guaB;pdhA;purE",1
"Process","GO:0072522","Purine-containing compound biosynthetic process",39,6,6.9,0.713762616495832,"RS01015;RS02575;RS02580;guaB;pdhA;purE",1
"Function","GO:0097159","Organic cyclic compound binding",379,64,67,0.715646720719643,"RS00300;RS00365;RS00470;RS00520;RS00690;RS00805;RS01015;RS01325;RS01330;RS01395;RS01625;RS01645;RS01690;RS02030;RS02060;RS02365;RS02455;RS02550;RS03090;RS03095;RS04045;RS04315;RS04605;RS04785;RS04825;RS05180;RS05340;RS06015;RS06030;RS06055;RS06075;RS06130;RS06475;RS06670;RS06685;alr;ccmA;clpB;cysS;dnaJ;dnaK;dnaN;efp;gltX;greA;groES;groL;grpE;guaB;ilvC;lon;lpdA;murD;rnpA;rplF;rplN;rplX;rpoH;rpoZ;rpsO;serS;smpB;tsf;yihA",1
"Function","GO:1901363","Heterocyclic compound binding",379,64,67,0.715646720719643,"RS00300;RS00365;RS00470;RS00520;RS00690;RS00805;RS01015;RS01325;RS01330;RS01395;RS01625;RS01645;RS01690;RS02030;RS02060;RS02365;RS02455;RS02550;RS03090;RS03095;RS04045;RS04315;RS04605;RS04785;RS04825;RS05180;RS05340;RS06015;RS06030;RS06055;RS06075;RS06130;RS06475;RS06670;RS06685;alr;ccmA;clpB;cysS;dnaJ;dnaK;dnaN;efp;gltX;greA;groES;groL;grpE;guaB;ilvC;lon;lpdA;murD;rnpA;rplF;rplN;rplX;rpoH;rpoZ;rpsO;serS;smpB;tsf;yihA",1
"Function","GO:0016301","Kinase activity",33,5,5.8,0.720608422880378,"RS00690;RS02065;RS02110;RS02255;RS06480",1
"Keyword","KW-0175","Coiled coil",77,12,13.6,0.737082418689424,"RS00490;RS00520;RS00670;RS01600;RS01625;RS02110;RS03155;RS05395;RS05535;clpB;lon;rpoH",1
"Process","GO:0006221","Pyrimidine nucleotide biosynthetic process",14,2,2.5,0.738505390689408,"RS02550;RS04480",1
"Process","GO:0006575","Cellular modified amino acid metabolic process",14,2,2.5,0.738505390689408,"RS05100;murD",1
"Component","GO:0009279","Cell outer membrane",14,2,2.5,0.738505390689408,"RS00640;RS02220",1
"Component","GO:0044391","Ribosomal subunit",14,2,2.5,0.738505390689408,"rplN;rpsB",1
"Function","GO:0004519","Endonuclease activity",14,2,2.5,0.738505390689408,"rnpA;ybeY",1
"InterPro","IPR011455","Protein of unknown function DUF1561",14,2,2.5,0.738505390689408,"RS04280;RS05805",1
"Pfam","PF07598","Protein of unknown function (DUF1561)",14,2,2.5,0.738505390689408,"RS04280;RS05805",1
"Process","GO:0006261","DNA-templated DNA replication",7,1,1.2,0.74460534583131,"RS02365",1
"Process","GO:0009072","Aromatic amino acid family metabolic process",7,1,1.2,0.74460534583131,"aroC",1
"Process","GO:0009073","Aromatic amino acid family biosynthetic process",7,1,1.2,0.74460534583131,"aroC",1
"Process","GO:0009636","Response to toxic substance",7,1,1.2,0.74460534583131,"trxB",1
"Process","GO:0009892","Negative regulation of metabolic process",7,1,1.2,0.74460534583131,"phoU",1
