"categoria","termino","descripcion","genes_universo","genes_conjunto","esperados","p","genes","q"
"InterPro","IPR001478","PDZ domain",4,1,1,0.678448371277642,"RS03520",1
"InterPro","IPR005475","Transketolase-like, pyrimidine-binding domain",4,1,1,0.678448371277642,"tkt",1
"InterPro","IPR006638","Elp3/MiaA/NifB-like, radical SAM core domain",4,1,1,0.678448371277642,"miaB",1
"InterPro","IPR010982","Lambda repressor-like, DNA-binding domain superfamily",4,1,1,0.678448371277642,"RS04650",1
"InterPro","IPR010994","RuvA domain 2-like",4,1,1,0.678448371277642,"radC",1
"InterPro","IPR013760","DNA topoisomerase, type IIA-like domain superfamily",4,1,1,0.678448371277642,"parE",1
"InterPro","IPR016039","Thiolase-like",4,1,1,0.678448371277642,"RS02985",1
"InterPro","IPR019489","Clp ATPase, C-terminal",4,1,1,0.678448371277642,"clpX",1
"InterPro","IPR035647","EF-G domain III/V-like",4,1,1,0.678448371277642,"RS06615",1
"InterPro","IPR036034","PDZ superfamily",4,1,1,0.678448371277642,"RS03520",1
"InterPro","IPR043129","ATPase, nucleotide binding domain",4,1,1,0.678448371277642,"tsaD",1
"Pfam","PF00578","AhpC/TSA family",4,1,1,0.678448371277642,"RS05755",1
"Pfam","PF01168","Alanine racemase, N-terminal domain",4,1,1,0.678448371277642,"lysA",1
"Keyword","KW-0028","Amino-acid biosynthesis",27,6,6.7,0.68971380881728,"RS06280;RS06625;argJ;aroA;glyA;lysA",1
"Process","GO:0015849","Organic acid transport",9,2,2.2,0.692579553894936,"RS05350;RS06630",1
"Process","GO:0031167","rRNA methylation",9,2,2.2,0.692579553894936,"rlmH;rsmA",1
"Function","GO:0003700","DNA-binding transcription factor activity",9,2,2.2,0.692579553894936,"RS00625;RS01230",1
"Function","GO:0004252","Serine-type endopeptidase activity",9,2,2.2,0.692579553894936,"RS02025;RS03520",1
"Function","GO:0016866","Intramolecular transferase activity",9,2,2.2,0.692579553894936,"RS05750;truB",1
"Function","GO:0140110","Transcription regulator activity",9,2,2.2,0.692579553894936,"RS00625;RS01230",1
"Keyword","KW-0328","Glycosyltransferase",9,2,2.2,0.692579553894936,"RS03920;lpxB",1
"KEGG","bbk00030","Pentose phosphate pathway",9,2,2.2,0.692579553894936,"RS05750;tkt",1
