"","baseMean","log2FoldChange","lfcSE","pvalue","padj","wp"
"lcl|NC_008783.1_cds_WP_005767593.1_917",385.993210986396,-0.2159972030278,0.201733986333329,0.25080470233656,0.403308474788289,"WP_005767593.1"
"lcl|NC_008783.1_cds_WP_011807398.1_918",73530.967605492,-0.0490780760726103,0.274944857485319,0.837807340697551,0.894466989527412,"WP_011807398.1"
"lcl|NC_008783.1_cds_WP_005767595.1_919",226.520076141181,0.240290019759704,0.207902381985348,0.212968334931583,0.362290960573268,"WP_005767595.1"
"lcl|NC_008783.1_cds_WP_005767598.1_920",81.0705097841406,0.838026392388357,0.23116807657778,6.42394384581477e-05,0.000567608172645126,"WP_005767598.1"
"lcl|NC_008783.1_cds_WP_005767599.1_921",573.014606266263,0.446523574765642,0.317116793424559,0.0889866238840208,0.188143147640501,"WP_005767599.1"
"lcl|NC_008783.1_cds_WP_005767601.1_922",124.702076587013,-0.220964266696282,0.22917956708736,0.290497222017457,0.44610727739127,"WP_005767601.1"
"lcl|NC_008783.1_cds_WP_005767603.1_923",572.22682429369,0.333719259030901,0.132297716933734,0.00938842041210996,0.033181760501308,"WP_005767603.1"
"lcl|NC_008783.1_cds_WP_005767604.1_924",36.8621387133282,-0.0479939178240201,0.351619835468836,0.861808047112289,0.907812035392305,"WP_005767604.1"
"lcl|NC_008783.1_cds_WP_005767606.1_925",289.423934429496,-0.564702132817872,0.354160044325537,0.0422646156186324,0.107967707945234,"WP_005767606.1"
"lcl|NC_008783.1_cds_WP_005767608.1_926",1332.94834383072,-1.25573563465127,0.371415326049586,1.35259061119439e-05,0.000148284007745755,"WP_005767608.1"
"lcl|NC_008783.1_cds_WP_005767609.1_927",388.004748217307,0.482052871818968,0.175034323843402,0.00369350739608211,0.0163786994642742,"WP_005767609.1"
"lcl|NC_008783.1_cds_WP_005767611.1_928",411.929338605997,-0.0434159610788711,0.193851943902344,0.81124356651887,0.882823881211711,"WP_005767611.1"
"lcl|NC_008783.1_cds_WP_005767613.1_929",841.706974975785,0.689858150819974,0.205833287733309,0.000301481404917385,0.00197212145537118,"WP_005767613.1"
"lcl|NC_008783.1_cds_WP_005767615.1_930",328.22305252901,-0.0756859264868674,0.198772808700277,0.68367583050919,0.797509540219587,"WP_005767615.1"
"lcl|NC_008783.1_cds_WP_011807401.1_931",285.978150980039,-0.129827275008913,0.323499706740855,0.624401839709077,0.757471084237241,"WP_011807401.1"
